Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
Denmark,NER,Niger,LDCs,Afr, -   , -   , 1.78 , -   , 1.78 
Denmark,TGO,Togo,LDCs,Afr, -   , -   , 1.73 , -   , 1.73 
Denmark,NPL,Nepal,LDCs,Sear, -   , 0.53 , 1.13 , -   , 1.67 
Denmark,LAO,Lao People's Democratic Republic,LDCs,Wpr, -   , 0.33 , 1.19 , -   , 1.52 
Denmark,SSD,South Sudan,Other LICs,Emr, -   , -   , 1.40 , -   , 1.40 
Denmark,ERI,Eritrea,LDCs,Afr, -   , -   , 1.27 , -   , 1.27 
Denmark,SDN,Sudan,LDCs,Emr, -   , -   , 1.20 , -   , 1.20 
Denmark,ARM,Armenia,LMICs,Eur, -   , -   , 1.18 , -   , 1.18 
Denmark,MLI,Mali,LDCs,Afr, -   , 0.60 , 0.34 , -   , 0.94 
Denmark,BOL,Bolivia (Plurinational State of),LMICs,Amr, -   , 0.03 , -   , 0.83 , 0.85 
Denmark,UNK,Kosovo (SCR 1244 (1999)),LMICs,Not UN, 0.85 , -   , -   , -   , 0.85 
Denmark,VNM,Viet Nam,LMICs,Wpr, 0.27 , 0.54 , -   , -   , 0.81 
