Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
Netherlands,Ethiopia,4,0.10,12.49,7.97,10.75,31.31,5.2%
Netherlands,Nigeria,5,24.03,0.00,0.00,0.00,24.03,4.0%
Netherlands,Mozambique,6,21.05,2.68,0.00,0.00,23.73,4.0%
Netherlands,Burkina Faso,7,0.00,3.55,18.54,0.00,22.09,3.7%
Netherlands,Mali,8,0.04,0.01,10.53,9.18,19.75,3.3%
Netherlands,All others,9,16.82,13.02,52.88,17.50,100.22,16.7%
New Zealand,Global and Regional,1,1.51,4.50,6.46,5.08,17.55,34.9%
New Zealand,Papua New Guinea,2,8.87,3.84,4.64,1.74,19.09,38.0%
New Zealand,Samoa,3,0.06,0.00,3.36,0.04,3.46,6.9%
New Zealand,Zimbabwe,4,0.00,0.00,1.53,0.00,1.53,3.0%
New Zealand,Indonesia,5,0.00,0.01,1.48,0.00,1.49,3.0%
New Zealand,Zambia,6,0.00,0.17,0.00,1.31,1.48,3.0%
New Zealand,Afghanistan,7,0.00,0.00,0.92,0.00,0.92,1.8%
New Zealand,Cook Islands,8,0.00,0.05,0.50,0.00,0.56,1.1%
New Zealand,All others,9,0.37,0.45,2.73,0.61,4.16,8.3%
Norway,Global and Regional,1,32.49,88.23,38.31,14.84,173.87,45.5%
Norway,Malawi,2,12.43,2.75,18.80,5.95,39.93,10.4%
Norway,United Republic of Tanzania,3,0.84,2.41,20.64,1.00,24.88,6.5%
Norway,Nigeria,4,0.00,0.12,0.00,19.99,20.11,5.3%
Norway,Pakistan,5,-0.02,0.00,4.39,9.51,13.88,3.6%
Norway,India,6,4.01,1.23,8.21,0.00,13.45,3.5%
Norway,West Bank and Gaza Strip,7,2.14,0.00,9.84,1.22,13.21,3.5%
Norway,Ethiopia,8,0.04,6.34,3.53,0.39,10.30,2.7%
Norway,All others,9,5.20,23.94,38.14,5.41,72.69,19.0%
OFID,Global and Regional,1,0.00,16.38,1.96,0.00,18.34,34.6%
OFID,Syrian Arab Republic,2,0.00,0.00,4.60,0.00,4.60,8.7%
OFID,Kenya,3,0.00,0.00,3.60,0.00,3.60,6.8%
OFID,Jordan,4,0.00,0.00,3.40,0.00,3.40,6.4%
OFID,Chad,5,0.00,0.00,3.27,0.00,3.27,6.2%
OFID,Turkmenistan,6,0.00,0.00,3.08,0.00,3.08,5.8%
OFID,West Bank and Gaza Strip,7,0.50,0.00,2.43,0.11,3.04,5.7%
OFID,Senegal,8,0.00,0.00,2.80,0.00,2.80,5.3%
OFID,All others,9,0.00,0.30,10.60,0.00,10.90,20.6%
Portugal,Global and Regional,1,0.01,0.42,0.07,0.00,0.49,1.7%
Portugal,Cape Verde,2,0.11,0.00,13.25,0.01,13.37,46.5%
Portugal,Sao Tome and Principe,3,0.17,0.16,5.46,0.15,5.95,20.7%
Portugal,Guinea-Bissau,4,0.01,0.20,3.36,0.40,3.97,13.8%
Portugal,Angola,5,0.12,0.14,3.33,0.03,3.62,12.6%
Portugal,Timor-Leste,6,0.00,0.00,0.57,0.09,0.67,2.3%
Portugal,Mozambique,7,0.01,0.27,0.34,0.00,0.62,2.2%
Portugal,Saint Lucia,8,0.04,0.00,0.00,0.00,0.04,0.1%
Portugal,All others,9,0.01,0.00,0.00,0.00,0.01,0.0%
Republic of Korea,Global and Regional,1,7.68,4.35,4.27,0.08,16.38,6.9%
Republic of Korea,Viet Nam,2,0.47,0.00,42.97,0.00,43.44,18.3%
Republic of Korea,Bosnia and Herzegovina,3,0.00,0.00,38.40,0.00,38.40,16.1%
Republic of Korea,Afghanistan,4,0.00,0.00,25.51,0.00,25.51,10.7%
Republic of Korea,Indonesia,5,0.03,0.00,15.38,0.00,15.41,6.5%
Republic of Korea,Lao People's Democratic Republic,6,0.13,0.15,10.53,0.30,11.10,4.7%
Republic of Korea,Colombia,7,0.03,0.02,10.31,0.00,10.36,4.4%
Republic of Korea,Honduras,8,0.00,0.00,6.93,0.00,6.93,2.9%
Republic of Korea,All others,9,3.82,12.29,49.86,4.34,70.31,29.6%
Spain,Global and Regional,1,26.53,12.11,26.53,31.07,96.24,23.7%
Spain,Argentina,2,0.12,0.05,24.93,0.00,25.11,6.2%
Spain,Mozambique,3,11.77,0.66,6.15,0.40,18.98,4.7%
Spain,West Bank and Gaza Strip,4,8.89,0.00,7.31,1.39,17.60,4.3%
Spain,Ethiopia,5,13.55,0.35,2.47,0.35,16.72,4.1%
Spain,Peru,6,2.77,1.16,11.74,0.92,16.59,4.1%
Spain,Mali,7,8.49,0.62,4.22,2.84,16.17,4.0%
Spain,Niger,8,8.33,0.18,2.41,4.89,15.81,3.9%
Spain,All others,9,36.77,19.73,101.64,24.58,182.71,45.0%
Sweden,Global and Regional,1,13.84,95.08,40.96,44.37,194.25,53.2%
Sweden,Bangladesh,2,0.00,1.47,19.51,3.65,24.63,6.7%
Sweden,Uganda,3,1.16,2.76,14.67,5.79,24.38,6.7%
Sweden,Sudan,4,1.43,0.12,17.65,0.70,19.91,5.5%
Sweden,Democratic Republic of the Congo,5,0.00,0.30,18.17,0.87,19.34,5.3%
Sweden,South Africa,6,0.03,12.52,0.29,0.00,12.84,3.5%
Sweden,Zimbabwe,7,0.00,9.53,0.03,0.00,9.56,2.6%
Sweden,Somalia,8,0.00,0.01,7.21,0.00,7.22,2.0%
Sweden,All others,9,5.97,10.24,34.28,2.28,52.78,14.5%
Switzerland,Global and Regional,1,5.83,10.99,1.51,3.12,21.45,17.3%
Switzerland,United Republic of Tanzania,2,0.50,0.41,11.51,5.04,17.46,14.1%
Switzerland,Mozambique,3,8.59,0.02,3.39,0.81,12.80,10.3%
Switzerland,Republic of Moldova,4,3.39,0.00,6.42,0.64,10.44,8.4%
Switzerland,Kyrgyzstan,5,3.03,0.00,4.21,0.00,7.24,5.8%
Switzerland,Cambodia,6,0.24,0.00,0.00,6.44,6.68,5.4%
Switzerland,Burundi,7,1.14,0.48,3.78,0.00,5.40,4.3%
Switzerland,Tajikistan,8,0.01,0.00,4.94,0.00,4.95,4.0%
Switzerland,All others,9,10.54,2.20,24.35,0.61,37.71,30.4%
"The Global Fund",Global and Regional,1,0.00,49.88,0.00,0.00,49.88,0.9%
"The Global Fund",Ethiopia,2,0.00,438.99,0.00,0.00,438.99,8.0%
"The Global Fund",India,3,0.00,313.64,0.00,0.00,313.64,5.7%
"The Global Fund",United Republic of Tanzania,4,0.00,264.02,0.00,0.00,264.02,4.8%
"The Global Fund",Rwanda,5,0.00,261.66,0.50,0.00,262.16,4.8%
"The Global Fund",China,6,0.00,185.64,0.00,0.00,185.64,3.4%
"The Global Fund",Malawi,7,0.00,144.08,16.83,0.00,160.91,2.9%
"The Global Fund",Indonesia,8,0.00,159.12,0.00,0.00,159.12,2.9%
"The Global Fund",All others,9,0.00,"3,665.34",9.88,0.00,"3,675.22",66.7%
UNAIDS,Global and Regional,1,0.00,219.95,0.00,0.00,219.95,66.1%
UNAIDS,South Africa,2,0.00,4.26,0.00,0.00,4.26,1.3%
UNAIDS,Nigeria,3,0.00,3.82,0.00,0.00,3.82,1.1%
UNAIDS,China,4,0.00,3.39,0.00,0.00,3.39,1.0%
UNAIDS,Ethiopia,5,0.00,3.24,0.00,0.00,3.24,1.0%
UNAIDS,India,6,0.00,2.44,0.00,0.00,2.44,0.7%
UNAIDS,Congo,7,0.00,2.40,0.00,0.00,2.40,0.7%
UNAIDS,Zambia,8,0.00,2.23,0.00,0.00,2.23,0.7%
UNAIDS,All others,9,0.00,90.94,0.00,0.00,90.94,27.3%
UNDP,Global and Regional,1,0.00,4.40,0.00,0.03,4.43,12.4%
UNDP,Myanmar,2,0.00,0.00,4.83,0.00,4.83,13.5%
UNDP,Ethiopia,3,0.00,0.23,2.83,0.00,3.07,8.6%
UNDP,Nigeria,4,0.05,2.12,0.25,0.00,2.42,6.8%
UNDP,Burkina Faso,5,0.00,2.33,0.00,0.00,2.33,6.5%
UNDP,Zambia,6,0.00,2.26,0.00,0.00,2.26,6.3%
UNDP,Niger,7,0.00,1.80,0.00,0.00,1.80,5.0%
UNDP,Chad,8,0.00,1.28,0.00,0.00,1.28,3.6%
UNDP,All others,9,0.35,12.48,0.41,0.07,13.32,37.3%
UNECE,Global and Regional,1,0.11,0.00,0.00,0.00,0.11,100.0%
